USERNAME	TIMESTAMP	TYPE	SITE	ACCESS_ID	DIRECTION_OF_ACCESS
1001	2019-09-12T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2019-09-05T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2019-11-14T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2019-10-24T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2019-09-20T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2019-11-05T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2019-11-18T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2019-10-27T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2019-09-25T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2019-12-08T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2019-10-24T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2019-10-24T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2019-09-20T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-01-04T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-01-02T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-01-08T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-01-06T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-01-06T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-01-08T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-01-13T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-01-15T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-01-10T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-01-13T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-01-04T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-03-09T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-04-03T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-03-15T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-04-08T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-03-30T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-03-05T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-02-11T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-01-26T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-02-22T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-04-16T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-04-13T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-04-19T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-04-13T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-05-08T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-05-28T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-05-18T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-05-25T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-05-20T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-05-12T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-04-22T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-04-27T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-05-25T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-06-14T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-06-01T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2019-09-13T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2019-09-11T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2019-10-17T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2019-10-28T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2019-10-05T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2019-12-02T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2019-10-28T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2019-09-30T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2019-11-18T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2019-10-06T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2019-09-20T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2019-12-25T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2019-12-20T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-01-09T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-01-11T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-01-08T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-01-13T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-01-11T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-01-08T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-01-09T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-01-15T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-01-27T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-01-31T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-03-10T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-02-27T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-01-31T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-02-12T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-02-05T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-03-08T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-04-20T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-04-10T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-04-13T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-05-26T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-05-19T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-05-25T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-05-14T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-05-06T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-05-29T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-04-29T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-05-13T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-07-18T00:00:00	PLACEHOLDER	Library	1001527	I
1001	2020-06-19T00:00:00	PLACEHOLDER	Library	1001527	I
1002	2019-09-03T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2019-09-02T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2019-12-10T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2019-09-29T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2019-12-07T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2019-10-30T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2019-11-05T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2019-09-14T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2019-11-03T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2019-10-25T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2019-11-12T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2019-11-05T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2020-01-02T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2019-12-23T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2020-01-08T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2020-01-04T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2020-01-11T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2020-01-04T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2020-01-10T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2020-01-04T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2020-01-15T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2020-01-09T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2020-01-10T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2020-02-02T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2020-04-04T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2020-03-03T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2020-02-20T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2020-03-08T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2020-03-22T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2020-01-20T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2020-01-20T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2020-04-18T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2020-04-19T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2020-04-20T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2020-04-15T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2020-05-24T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2020-05-08T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2020-04-21T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2020-04-21T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2020-05-23T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2020-05-25T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2020-05-12T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2020-05-20T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2020-05-04T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2020-06-19T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2020-07-08T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2019-09-02T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2019-10-18T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2019-09-15T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2019-09-29T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2019-11-21T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2019-12-13T00:00:00	PLACEHOLDER	Library	1002528	I
1002	2019-09-14T00:00:00	PLACEHOLDER	Library	1002528	I
